benefit_id,card_id,owner,card_name,benefit_name,benefit_type,category,frequency,cycle_rule,current_cycle,expiration_date,face_value,realistic_value,used_amount,remaining_amount,usage_percent,status,days_until_expiry,priority,include_in_alert,notes,source_url,review_needed
chase_sapphire_reserve_p1_stubhub_h1,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,StubHub / viagogo Credit H1,Credit,Entertainment,Semiannual,Jan-Jun,2026-H1,2026-06-30,150.0,100.0,0.0,150.0,0.0,Not Used,59.0,Medium,Yes,Up to $150 Jan-Jun; activation required.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p1_stubhub_h2,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,StubHub / viagogo Credit H2,Credit,Entertainment,Semiannual,Jul-Dec,2026-H2,2026-12-31,150.0,100.0,0.0,150.0,0.0,Not Used,243.0,Medium,Yes,Up to $150 Jul-Dec; activation required.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p1_lyft_monthly,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,Lyft Monthly Credit,Credit,Rideshare,Monthly,Calendar Month,2026-05,2026-05-31,10.0,10.0,0.0,10.0,0.0,Ignored,29.0,Medium,Yes,Up to $10/month Lyft credit through 9/30/2027.,https://account.chase.com/sapphire/reserve/disclosures,
chase_sapphire_reserve_p1_peloton_monthly,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,Peloton Monthly Credit,Credit,Other,Monthly,Calendar Month,2026-05,2026-05-31,10.0,0.0,0.0,10.0,0.0,Ignored,29.0,Low,No,Up to $10/month Peloton membership credit through 12/31/2027; turn on alert if relevant.,https://account.chase.com/sapphire/reserve/disclosures,
chase_sapphire_reserve_p1_doordash_monthly,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,DoorDash Promos,Credit,Dining,Monthly,Calendar Month,2026-05,2026-05-31,25.0,20.0,10.0,15.0,0.4,Partially Used,29.0,High,Yes,Chase advertises up to $300 in DoorDash promos annually; verify monthly split in app.,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,Verify current monthly split in DoorDash
chase_sapphire_reserve_p1_the_edit_annual,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,The Edit Hotel Credit,Credit,Hotel,Annual,Calendar Year,2026,2026-12-31,500.0,250.0,0.0,500.0,0.0,Not Used,243.0,Medium,Yes,"Up to $250 per prepaid booking, up to $500 annually; two-night minimum.",https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,
chase_sapphire_reserve_p1_select_hotel_2026,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,2026 Select Chase Travel Hotel Credit,Credit,Hotel,One-time,Specific Date Range,One-time,2026-12-31,250.0,150.0,0.0,250.0,0.0,Not Used,243.0,Medium,Yes,2026-only select Chase Travel hotel credit; two-night minimum; verify eligible brands.,https://account.chase.com/sapphire/reserve/benefits,Time-limited / verify terms
chase_sapphire_reserve_p1_global_entry,chase_sapphire_reserve_p1,Eason,Chase Sapphire Reserve,Global Entry / TSA PreCheck / NEXUS,Reimbursement,Travel,Custom,Specific Date Range,Custom,,120.0,100.0,0.0,120.0,0.0,Ignored,0.0,Low,No,Up to $120 every four years. Manually set expiry when due.,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,
chase_sapphire_reserve_p2_travel_annual,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Annual Travel Credit,Credit,Travel,Annual,Cardmember Year,2026,,300.0,300.0,0.0,300.0,0.0,Not Used,0.0,High,Yes,Up to $300 annual travel credit; anniversary-year based. Add open date/renewal to refine.,https://account.chase.com/sapphire/reserve/disclosures,
chase_sapphire_reserve_p2_dining_h1,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Sapphire Reserve Dining Credit H1,Credit,Dining,Semiannual,Jan-Jun,2026-H1,2026-06-30,150.0,120.0,0.0,150.0,0.0,Not Used,59.0,High,Yes,Up to $150 Jan-Jun at Sapphire Reserve Exclusive Tables restaurants.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p2_dining_h2,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Sapphire Reserve Dining Credit H2,Credit,Dining,Semiannual,Jul-Dec,2026-H2,2026-12-31,150.0,120.0,0.0,150.0,0.0,Not Used,243.0,High,Yes,Up to $150 Jul-Dec at Sapphire Reserve Exclusive Tables restaurants.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p2_stubhub_h1,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,StubHub / viagogo Credit H1,Credit,Entertainment,Semiannual,Jan-Jun,2026-H1,2026-06-30,150.0,100.0,0.0,150.0,0.0,Not Used,59.0,Medium,Yes,Up to $150 Jan-Jun; activation required.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p2_stubhub_h2,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,StubHub / viagogo Credit H2,Credit,Entertainment,Semiannual,Jul-Dec,2026-H2,2026-12-31,150.0,100.0,0.0,150.0,0.0,Not Used,243.0,Medium,Yes,Up to $150 Jul-Dec; activation required.,https://account.chase.com/sapphire/reserve/benefits,
chase_sapphire_reserve_p2_lyft_monthly,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Lyft Monthly Credit,Credit,Rideshare,Monthly,Calendar Month,2026-05,2026-05-31,10.0,10.0,0.0,10.0,0.0,Ignored,29.0,Medium,Yes,Up to $10/month Lyft credit through 9/30/2027.,https://account.chase.com/sapphire/reserve/disclosures,
chase_sapphire_reserve_p2_peloton_monthly,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Peloton Monthly Credit,Credit,Other,Monthly,Calendar Month,2026-05,2026-05-31,10.0,0.0,0.0,10.0,0.0,Ignored,29.0,Low,No,Up to $10/month Peloton membership credit through 12/31/2027; turn on alert if relevant.,https://account.chase.com/sapphire/reserve/disclosures,
chase_sapphire_reserve_p2_doordash_monthly,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,DoorDash Promos,Credit,Dining,Monthly,Calendar Month,2026-05,2026-05-31,25.0,20.0,0.0,25.0,0.0,Not Used,29.0,High,Yes,Chase advertises up to $300 in DoorDash promos annually; verify monthly split in app.,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,Verify current monthly split in DoorDash
chase_sapphire_reserve_p2_the_edit_annual,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,The Edit Hotel Credit,Credit,Hotel,Annual,Calendar Year,2026,2026-12-31,500.0,250.0,0.0,500.0,0.0,Not Used,243.0,Medium,Yes,"Up to $250 per prepaid booking, up to $500 annually; two-night minimum.",https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,
chase_sapphire_reserve_p2_select_hotel_2026,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,2026 Select Chase Travel Hotel Credit,Credit,Hotel,One-time,Specific Date Range,One-time,2026-12-31,250.0,150.0,0.0,250.0,0.0,Not Used,243.0,Medium,Yes,2026-only select Chase Travel hotel credit; two-night minimum; verify eligible brands.,https://account.chase.com/sapphire/reserve/benefits,Time-limited / verify terms
chase_sapphire_reserve_p2_global_entry,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,Global Entry / TSA PreCheck / NEXUS,Reimbursement,Travel,Custom,Specific Date Range,Custom,,120.0,100.0,0.0,120.0,0.0,Not Used,0.0,Low,No,Up to $120 every four years. Manually set expiry when due.,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,
chase_sapphire_reserve_p2_whoop_life_2026,chase_sapphire_reserve_p2,Xinyi,Chase Sapphire Reserve,WHOOP Life Annual Membership Offer,Credit,Other,One-time,Specific Date Range,One-time,2026-05-12,359.0,359.0,359.0,0.0,1.0,Used,3.0,High,Yes,"Limited-time Chase Sapphire offer: activate in Chase Offers before purchase, then use Sapphire Reserve at WHOOP.com by 2026-05-12 to get $359 back on a WHOOP Life Membership Annual Plan. Online U.S. purchase only; not valid through third-party payment accounts.",https://www.whoop.com/us/en/chase-sapphire/,Time-limited Chase Offer; verify activation in Chase account
chase_united_quest_p1_united_travel_credit,chase_united_quest_p1,Eason,Chase United Quest,United Travel Credit,Credit,Airline,Annual,Cardmember Year,2026,,200.0,200.0,200.0,0.0,1.0,Used,0.0,High,Yes,Current Chase page advertises $200 United travel credit; verify account terms.,https://creditcards.chase.com/travel-credit-cards/united/united-quest,
chase_united_quest_p1_rideshare_monthly,chase_united_quest_p1,Eason,Chase United Quest,Rideshare Credit,Credit,Rideshare,Monthly,Calendar Month,2026-05,2026-05-31,8.0,8.0,0.0,8.0,0.0,Not Used,29.0,Medium,Yes,$8 Jan-Nov; December may be $12; yearly opt-in required.,https://www.chase.com/personal/credit-cards/united/united-quest-card,
chase_united_quest_p1_renowned_hotels,chase_united_quest_p1,Eason,Chase United Quest,Renowned Hotels Credit,Credit,Hotel,Annual,Cardmember Year,2026,,150.0,100.0,0.0,150.0,0.0,Not Used,0.0,Medium,Yes,Up to $150 annually on prepaid Renowned Hotels and Resorts.,https://www.chase.com/personal/credit-cards/united/united-quest-card,
chase_united_quest_p1_jsx_credit,chase_united_quest_p1,Eason,Chase United Quest,JSX Credit,Credit,Airline,Annual,Cardmember Year,2026,,150.0,0.0,0.0,150.0,0.0,Ignored,0.0,Low,No,Track only if you use JSX.,https://www.chase.com/personal/credit-cards/united/united-quest-card,
chase_united_quest_p1_avis_budget,chase_united_quest_p1,Eason,Chase United Quest,Avis / Budget United TravelBank Credit,Credit,Travel,Annual,Cardmember Year,2026,,80.0,40.0,0.0,80.0,0.0,Ignored,0.0,Low,No,Up to two $40 United TravelBank credits for Avis/Budget rentals booked through United cars.,https://cardmembers.united.com/Quest,
chase_united_quest_p1_global_entry,chase_united_quest_p1,Eason,Chase United Quest,Global Entry / TSA PreCheck / NEXUS,Reimbursement,Travel,Custom,Specific Date Range,Custom,,120.0,100.0,0.0,120.0,0.0,Ignored,0.0,Low,No,Up to $120 every four years. Manually set expiry when due.,https://www.chase.com/personal/credit-cards/united/united-quest-card,
chase_marriott_boundless_p1_annual_free_night,chase_marriott_boundless_p1,Eason,Marriott Bonvoy Boundless Credit Card,Annual Free Night Award,Free Night,Hotel,Annual,Cardmember Year,2026,2027-02-19,250.0,200.0,0.0,250.0,0.0,Not Used,286.0,High,Yes,"Annual free night after account anniversary, valid up to 35K points; Chase says it can be combined with points to access more hotels. Expiry set to 10 days before next membership fee date.",https://marriott.chase.com/boundless,
chase_marriott_boundless_p1_airline_credit_h1,chase_marriott_boundless_p1,Eason,Marriott Bonvoy Boundless Credit Card,Airline Credit H1,Credit,Airline,Semiannual,Jan-Jun,2026-H1,2026-06-30,50.0,50.0,0.0,50.0,0.0,Not Used,59.0,Medium,Yes,"Activate offer, then spend $250 directly with airlines from Jan 1 through Jun 30 to earn a $50 statement credit.",https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,Verify offer is active on this account
chase_marriott_boundless_p1_airline_credit_h2,chase_marriott_boundless_p1,Eason,Marriott Bonvoy Boundless Credit Card,Airline Credit H2,Credit,Airline,Semiannual,Jul-Dec,2026-H2,2026-12-31,50.0,50.0,0.0,50.0,0.0,Not Used,243.0,Medium,Yes,"Activate offer, then spend $250 directly with airlines from Jul 1 through Dec 31 to earn a $50 statement credit.",https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,Verify offer is active on this account
chase_marriott_boundless_p2_annual_free_night,chase_marriott_boundless_p2,Xinyi,Marriott Bonvoy Boundless Credit Card,Annual Free Night Award,Free Night,Hotel,Annual,Cardmember Year,2026,2027-03-22,250.0,200.0,0.0,250.0,0.0,Not Used,317.0,High,Yes,"Annual free night after account anniversary, valid up to 35K points; Chase says it can be combined with points to access more hotels. Expiry set to 10 days before next membership fee date.",https://marriott.chase.com/boundless,
chase_marriott_boundless_p2_airline_credit_h1,chase_marriott_boundless_p2,Xinyi,Marriott Bonvoy Boundless Credit Card,Airline Credit H1,Credit,Airline,Semiannual,Jan-Jun,2026-H1,2026-06-30,50.0,50.0,0.0,50.0,0.0,Not Used,59.0,Medium,Yes,"Activate offer, then spend $250 directly with airlines from Jan 1 through Jun 30 to earn a $50 statement credit.",https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,Verify offer is active on this account
chase_marriott_boundless_p2_airline_credit_h2,chase_marriott_boundless_p2,Xinyi,Marriott Bonvoy Boundless Credit Card,Airline Credit H2,Credit,Airline,Semiannual,Jul-Dec,2026-H2,2026-12-31,50.0,50.0,0.0,50.0,0.0,Not Used,243.0,Medium,Yes,"Activate offer, then spend $250 directly with airlines from Jul 1 through Dec 31 to earn a $50 statement credit.",https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,Verify offer is active on this account
chase_hyatt_p1_annual_free_night,chase_hyatt_p1,Xinyi,World of Hyatt Credit Card,Annual Category 1-4 Free Night,Free Night,Hotel,Annual,Cardmember Year,2026,2026-10-22,250.0,220.0,250.0,0.0,1.0,Used,166.0,High,Yes,Free night at Category 1-4 Hyatt every year after cardmember anniversary. Expiry set to 10 days before next membership fee date.,https://world.hyatt.com/content/gp/en/rewards/hyatt-credit-card.html,
chase_hyatt_p1_hyatt_statement_credit_1,chase_hyatt_p1,Xinyi,World of Hyatt Credit Card,Hyatt Statement Credit 1,Credit,Hotel,Annual,Cardmember Year,2026,,50.0,50.0,0.0,50.0,0.0,Not Used,0.0,Medium,Yes,"Earn $50 statement credit after $50+ at Hyatt, up to two times per anniversary year.",https://world.hyatt.com/content/gp/en/rewards/hyatt-credit-card.html,
chase_hyatt_p1_hyatt_statement_credit_2,chase_hyatt_p1,Xinyi,World of Hyatt Credit Card,Hyatt Statement Credit 2,Credit,Hotel,Annual,Cardmember Year,2026,,50.0,50.0,0.0,50.0,0.0,Not Used,0.0,Medium,Yes,Second $50 Hyatt statement credit.,https://world.hyatt.com/content/gp/en/rewards/hyatt-credit-card.html,
chase_hyatt_p1_second_free_night_spend,chase_hyatt_p1,Xinyi,World of Hyatt Credit Card,Second Free Night Spend Benefit,Free Night,Hotel,Annual,Calendar Year,2026,2026-12-31,250.0,0.0,0.0,250.0,0.0,Ignored,243.0,Low,No,Earn extra Category 1-4 free night after $15K spend in calendar year.,https://creditcards.chase.com/travel-credit-cards/world-of-hyatt-credit-card,
usbank_altitude_reserve_p1_annual_credit,usbank_altitude_reserve_p1,Xinyi,U.S. Bank Altitude Reserve Visa Infinite,Annual Travel / Dining Credit,Credit,Travel,Annual,Cardmember Year,2026,,325.0,325.0,0.0,325.0,0.0,Not Used,0.0,High,Yes,Official page lists $325 annual credit; terms may have changed for travel center eligibility.,https://rewards.usbank.com/benefits/card/AltitudeReserveBenefits,
usbank_altitude_reserve_p1_priority_pass,usbank_altitude_reserve_p1,Xinyi,U.S. Bank Altitude Reserve Visa Infinite,Priority Pass Visits,Access,Travel,Annual,Calendar Year,2026,2026-12-31,8.0,80.0,0.0,8.0,0.0,Ignored,243.0,Medium,Yes,Track as count: 8 visits per year if you use lounge access.,https://rewards.usbank.com/benefits/card/AltitudeReserveBenefits,
usbank_altitude_reserve_p1_global_entry,usbank_altitude_reserve_p1,Xinyi,U.S. Bank Altitude Reserve Visa Infinite,Global Entry / TSA PreCheck,Reimbursement,Travel,Custom,Specific Date Range,Custom,,120.0,100.0,0.0,120.0,0.0,Ignored,0.0,Low,No,Up to one application fee credit; manually set expiry when due.,https://rewards.usbank.com/benefits/card/AltitudeReserveBenefits,
